PlanID,Makespan,NumberOfTasks,Cost
TR1_1_HRC,26.9032461643219,12,0
TR2_1_HRC,24.9973456859589,12,0
TR1_2_HRC,26.9680769443512,12,0
TR2_2_HRC,28.9511370658875,12,0
TR1_3_HRC,26.9386248588562,12,0
TR2_3_HRC,28.9861552715301,12,0
TR1_1_HRC_CS_90,39.9670329093933,14,2
TR2_1_HRC_CS_90,32.9221510887146,12,0
TR1_2_HRC_CS_90,40.9688699245453,15,3
TR2_2_HRC_CS_90,30.9529912471771,12,0
TR1_3_HRC_CS_90,43.9118819236755,15,3
TR2_3_HRC_CS_90,28.9373178482056,12,0
TR1_1_HRC_CS_95,45.9080216884613,16,4
TR2_1_HRC_CS_95,40.9536888599396,15,3
TR1_2_HRC_CS_95,43.9968891143799,16,4
TR2_2_HRC_CS_95,36.9953010082245,14,2
TR1_3_HRC_CS_95,47.9555802345276,17,5
TR2_3_HRC_CS_95,42.9916000366211,16,4
